Rank,District,District URL,DistrictName,City,City URL,Zip,County,Low Grade,High Grade,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,Rank Score (2018),Rank Score (2017),Rank (2017),Rank Change from 2017,SchoolDigger Star Rating (2018)
17,Riverview School District,https://www.schooldigger.com/go/PA/district/20430/search.aspx,Riverview,Oakmont,https://www.schooldigger.com/go/PA/city/Oakmont/search.aspx,15139,Allegheny,KG,12,946,2,1,1,0.7674201,0.758448,112,4,4
34,South Allegheny School District,https://www.schooldigger.com/go/PA/district/21910/search.aspx,South Allegheny,McKeesport,https://www.schooldigger.com/go/PA/city/McKeesport/search.aspx,15133,Allegheny,KG,12,1484,1,1,1,0.3106008,0.3358136,452,-9,1
4,South Fayette Township School District,https://www.schooldigger.com/go/PA/district/20580/search.aspx,South Fayete Township,South Fayete Township,,15057,Allegheny,KG,12,3074,1,1,1,0.9680833,0.9760497,3,-6,5
19,South Park School District,https://www.schooldigger.com/go/PA/district/22060/search.aspx,South Park,South Park,https://www.schooldigger.com/go/PA/city/South+Park/search.aspx,15129,Allegheny,KG,12,1817,1,1,1,0.7515684,0.7213747,142,24,4
33,Steel Valley School District,https://www.schooldigger.com/go/PA/district/22790/search.aspx,Steel Valley,Munhall,https://www.schooldigger.com/go/PA/city/Munhall/search.aspx,15120,Allegheny,KG,12,1463,2,1,1,0.3304901,0.2909806,474,23,1
1,Upper Saint Clair School District,https://www.schooldigger.com/go/PA/district/24570/search.aspx,Upper St. Clair Area,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15241,Allegheny,KG,12,4079,3,1,1,0.978846,0.9693456,8,5,5
48,Urban Academy Of Greater Pittsburgh Charter School,https://www.schooldigger.com/go/PA/district/00019/search.aspx,Urban Academy Of Greater Pittsburgh,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15206,Allegheny,KG,5,224,1,0,0,0.1392156,0.2243051,504,-40,0
45,Urban Pathways K-5 College Charter School,https://www.schooldigger.com/go/PA/district/00847/search.aspx,Urban Pathways K-5 College,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15222,Allegheny,KG,5,283,1,0,0,0.1607843,0.1797026,528,-7,1
13,West Allegheny School District,https://www.schooldigger.com/go/PA/district/25200/search.aspx,West Allegheny,Oakdale,https://www.schooldigger.com/go/PA/city/Oakdale/search.aspx,15071,Allegheny,KG,12,3350,3,1,1,0.8686134,0.8061665,80,28,5
14,West Jefferson Hills School District,https://www.schooldigger.com/go/PA/district/25590/search.aspx,West Jefferson Hills,Jefferson Hills,https://www.schooldigger.com/go/PA/city/Jefferson+Hills/search.aspx,15025,Allegheny,KG,12,2880,3,1,1,0.8667123,0.8877962,45,-9,5
47,Wilkinsburg Borough School District,https://www.schooldigger.com/go/PA/district/26370/search.aspx,Wilkinsburg,Wilkinsburg,https://www.schooldigger.com/go/PA/city/Wilkinsburg/search.aspx,15221,Allegheny,PK,12,524,2,0,0,0.1411764,0.089708,563,21,1
42,Young Scholars Of McKeesport Charter School,https://www.schooldigger.com/go/PA/district/00884/search.aspx,Young Scholars Of McKeesport,McKeesport,https://www.schooldigger.com/go/PA/city/McKeesport/search.aspx,15132,Allegheny,PK,8,127,1,0,0,0.1816993,(n/a),(n/a),(n/a),1
32,Young Scholars Of Western Pennsylvania Charter School,https://www.schooldigger.com/go/PA/district/00845/search.aspx,Young Scholars Of Western Pennsylvania,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15234,Allegheny,KG,8,295,1,1,0,0.3405604,0.4234052,393,-54,1
99,Shaler Area,,Shaler Area,,,,Allegheny,,,,,,,,,,,
99,Sto-Rox,,Sto-Rox,,,,Allegheny,,,,,,,,,,,
99,West Mifflin Area,,West Mifflin Area,,,,Allegheny,,,,,,,,,,,
99,McKeesport Area,,McKeesport Area,,,,Allegheny,,,,,,,,,,,
99,East Allegheny,,East Allegheny,,,,Allegheny,,,,,,,,,,,
99,Woodland Hills,,Woodland Hills,,,,Allegheny,,,,,,,,,,,
99,Fort Cherry,,Fort Cherry,,,,Allegheny,,,,,,,,,,,
